FİRMA NUMARASI	FİRMA ADI	İŞ YERİ	AMBAR	TÜR	MALZEME/HİZMET KODU	MASRAF MERKEZİ	TALEP NUMARASI	TALEP EDEN	TALEP TARİHİ	TALEP ONAYLAYAN	TALEP ONAY TARİHİ	TALEP AÇIKLAMA	SİPARİŞ NUMARASI	SİPARİŞİ AÇAN	SİPARİŞ TARİHİ	SİPARİŞ ONAYLAYAN	SİPARİŞ ONAY TARİHİ	SİPARİŞ MALZEME	TESLİM EVRAK NO	TESLİM TARİHİ	CARİ ÜNVANI	TESLİM ALAN	AÇIKLAMA	MİKTAR	BİRİM	ÖDEME VADESİ	PARA BİRİMİ	BİRİM FİYAT	TOPLAM	FATURAYI KAYDEDEN	FATURA KAYDETME TARİHİ	FATURA TARİHİ	FATURA NO
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.02.001	TESİSAT GRUBU	T.055.000.000009	mehmet.urun	6.01.2026 13:28	Zehra Kılınç	6.01.2026 16:53	Bakım Onarım Giderleri Makina Tesisat - Akhisar	S.ZYT.MRK.000045	Zehra Kılınç	6.01.2026 17:23	AKHİSAR.MUHASEBE	27.01.2026 16:49	Bakım Onarım Giderleri Makina Tesisat - Akhisar			SEZGİN AKKAYNAK		100X3000 PİS SU BORUSU	2	Adet	30	TL	435	870	ali.karakus	27.01.2026 17:21	27.01.2026 00:00	SEF2026000000023
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.02.001	TESİSAT GRUBU	T.055.000.000009	mehmet.urun	6.01.2026 13:28	Zehra Kılınç	6.01.2026 16:53	Bakım Onarım Giderleri Makina Tesisat - Akhisar	S.ZYT.MRK.000045	Zehra Kılınç	6.01.2026 17:23	AKHİSAR.MUHASEBE	27.01.2026 16:49	Bakım Onarım Giderleri Makina Tesisat - Akhisar			SEZGİN AKKAYNAK		100X TAPA	2	Adet	30	TL	30	60	ali.karakus	27.01.2026 17:21	27.01.2026 00:00	SEF2026000000023
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.007	MEKANİK BAKIM ONARIM	T.032.003.000002	tunahan.ak	5.01.2026 09:49	ufuk.kiranli	5.01.2026 10:09	Bakım Onarım  Giderleri Dolum Ünitesİ- Gönen	S.ACM.GNN.000093	Semih Mutlu	7.01.2026 09:25	ali.baplı	7.01.2026 14:35	Bakım Onarım  Giderleri Dolum Ünitesİ- Gönen			EKREM NALBURİYE HIRDAVAT VE İNŞ. MALZ. SAN. TİC. LTD. ŞTİ.		8 MM PNÖMATİK HAVA JAKI 	10	AD	30	TL	35	350	khairullah.taj	12.01.2026 14:33	7.01.2026 00:00	EKR2026000000053
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.007	MEKANİK BAKIM ONARIM	T.032.003.000002	tunahan.ak	5.01.2026 09:49	ufuk.kiranli	5.01.2026 10:09	Bakım Onarım  Giderleri Dolum Ünitesİ- Gönen	S.ACM.GNN.000093	Semih Mutlu	7.01.2026 09:25	ali.baplı	7.01.2026 14:35	Bakım Onarım  Giderleri Dolum Ünitesİ- Gönen			EKREM NALBURİYE HIRDAVAT VE İNŞ. MALZ. SAN. TİC. LTD. ŞTİ.		10 MM PNÖMATİK HAVA JAKI 	10	AD	30	TL	40	400	khairullah.taj	12.01.2026 14:33	7.01.2026 00:00	EKR2026000000053
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.007	MEKANİK BAKIM ONARIM	T.032.003.000002	tunahan.ak	5.01.2026 09:49	ufuk.kiranli	5.01.2026 10:09	Bakım Onarım  Giderleri Dolum Ünitesİ- Gönen	S.ACM.GNN.000093	Semih Mutlu	7.01.2026 09:25	ali.baplı	7.01.2026 14:35	Bakım Onarım  Giderleri Dolum Ünitesİ- Gönen			EKREM NALBURİYE HIRDAVAT VE İNŞ. MALZ. SAN. TİC. LTD. ŞTİ.		10X8 MM PNÖMATİK HAVA JAKI 	10	AD	30	TL	20	200	khairullah.taj	12.01.2026 14:33	7.01.2026 00:00	EKR2026000000053
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.002	FORKLİFT VE İŞ MAKİNALARI GİDERLERİ	T.032.003.000003	tunahan.ak	5.01.2026 15:26	ufuk.kiranli	5.01.2026 16:35	Bakım Onarım  Giderleri İş Makinaları - Gönen	S.ACM.GNN.000094	Semih Mutlu	7.01.2026 09:25	ali.baplı	7.01.2026 14:35	Bakım Onarım  Giderleri İş Makinaları - Gönen			MAR-TEK MEKANİK OTOMASYON ELEKTRİK TESİSAT İNŞAAT OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ		DN50 PN16 2 PARMAK  ( 2 İNÇ ) KROM VANA 	1	AD	30	TL	1600	1600	khairullah.taj	14.01.2026 10:36	9.01.2026 00:00	MRT2026000000390
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.007	MEKANİK BAKIM ONARIM	T.032.003.000004	tunahan.ak	5.01.2026 15:27	ufuk.kiranli	5.01.2026 16:35	Bakım Onarım  Giderleri Dolum Ünitesİ- Gönen	S.ACM.GNN.000095	Semih Mutlu	7.01.2026 09:28	ali.baplı	7.01.2026 14:35	Bakım Onarım  Giderleri Dolum Ünitesİ- Gönen			MAR-TEK MEKANİK OTOMASYON ELEKTRİK TESİSAT İNŞAAT OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ		YARIM PARMAK KROM BORU 3 MM KALINLIK ( 1 BOY )	1	AD	30	TL	1680	1680	khairullah.taj	14.01.2026 10:36	9.01.2026 00:00	MRT2026000000390
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.03.007	KİMYASALLAR	T.055.000.000007	sevgi.gonullu	6.01.2026 11:30	Zehra Kılınç	6.01.2026 16:33	Muhtelif Üretim Giderleri- (Akhisar)%8	S.ZYT.MRK.000046	Zehra Kılınç	7.01.2026 10:11	AKHİSAR.MUHASEBE	19.01.2026 15:45	Muhtelif Üretim Giderleri- (Akhisar)%8			KAHYA KİMYA AMBALAJ GIDA TARIM ÜRÜNLERİ SAN.VE TİC.LİM.ŞİRKETİ		 kostik (25lik çuvallarda)	75	Kilogram	01	TL	40	3000	*			
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.03.007	KİMYASALLAR	T.055.000.000007	sevgi.gonullu	6.01.2026 11:30	Zehra Kılınç	6.01.2026 16:33	Muhtelif Üretim Giderleri- (Akhisar)%8	S.ZYT.MRK.000046	Zehra Kılınç	7.01.2026 10:11	AKHİSAR.MUHASEBE	19.01.2026 15:45	Muhtelif Üretim Giderleri- (Akhisar)%8			KAHYA KİMYA AMBALAJ GIDA TARIM ÜRÜNLERİ SAN.VE TİC.LİM.ŞİRKETİ		limon tuzu	25	Kilogram	01	TL	81,6668	2041,67	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.009	MEKANİK BAKIM ONARIM	T.032.003.000021	tunahan.ak	5.01.2026 09:39	Semih Mutlu	7.01.2026 10:16	Bakım Onarım  Giderleri Evaparatör Bölüm- Gönen	S.ACM.GNN.000096	Semih Mutlu	7.01.2026 10:17	ali.baplı	7.01.2026 14:48	Bakım Onarım  Giderleri Evaparatör Bölüm- Gönen			MAR-TEK MEKANİK OTOMASYON ELEKTRİK TESİSAT İNŞAAT OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ		1000 WOG 2-1/2 316 KROM VANA ( ACİL )	1	AD	30	TL	2900	2900	khairullah.taj	14.01.2026 10:36	9.01.2026 00:00	MRT2026000000390
