SIPARIS_NO;PARA_BIRIMI;TOPLAM;TOPLAM_TRY
TI12026000000738;TL;46000;46000
TI12026000000793;TL;39000;39000
2601-48732-;EUR;509536.09;26492803.514792286
2601-48732-;EUR;48945.59;2544875.474444964
2601-48732-;EUR;111696.34;5807536.005823324
S.ACM.GKÇ.000078;EUR;588820.56;30615117.76633911
S.ACM.GKÇ.000078;EUR;1347805.56;70077760.09982842
S.ACM.GKÇ.000078;EUR;0;0
S.ACM.GKÇ.000078;EUR;0;0
S.ACM.GKÇ.000078;EUR;0;0
S.ACM.GKÇ.000078;EUR;0;0
S.ACM.GKÇ.000078;EUR;0;0
S.ACM.GKÇ.000078;EUR;0;0
VJ019;EUR;28725.55;1493555.3475796806
VJ019;EUR;18269.63;949910.5703738367
S.ACM.TOS.000005;TL;0;0
S.ACM.TOS.000005;TL;0;0
S.ACM.TOS.000005;TL;0;0
S.ACM.TOS.000005;TL;0;0
S.ACM.YNÇ.000002;TL;72000;72000
S.ACM.YNÇ.000002;TL;72000;72000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.YNÇ.000002;TL;408000;408000
S.ACM.TOS.000005;TL;0;0
OZ288869;TL;32342.8;32342.8
OZ288718;TL;18741.89;18741.89
OZ288694;TL;41465.52;41465.52
S.ACM.GNN.000145;TL;1570.68;1570.68
S.ACM.GNN.000146;TL;12653.09;12653.09
OZ288869;TL;1901.4;1901.4
OZ288869;TL;4426.98;4426.98
OZ288869;TL;97.52;97.52
OZ288869;TL;125.36;125.36
OZ288869;TL;12992.8;12992.8
OZ288869;TL;3304.8;3304.8
OZ288869;TL;8437.86;8437.86
OZ288869;TL;203.7;203.7
S.ACM.GKÇ.000051;TL;11650;11650
S.ACM.GKÇ.000051;TL;8475;8475
S.ACM.GKÇ.000051;TL;15600;15600
S.ACM.GKÇ.000051;TL;12600;12600
S.ACM.GKÇ.000051;TL;21440;21440
S.ACM.GKÇ.000051;TL;13450;13450
S.ACM.GKÇ.000051;TL;2215;2215
S.ACM.İZM.000027;TL;250000;250000
S.ACM.GNN.000181;TL;125;125
S.ACM.GNN.000181;TL;187.5;187.5
S.ACM.GNN.000114;TL;850;850
S.ACM.GNN.000114;TL;850;850
S.ACM.GNN.000088;TL;905;905
S.ACM.GNN.000137;TL;9625;9625
S.ACM.GNN.000113;TL;250;250
S.ACM.GNN.000116;TL;1300;1300
S.ACM.GNN.000138;TL;11340;11340
S.ACM.GNN.000139;TL;7800;7800
S.ACM.GNN.000140;TL;500;500
S.ACM.GNN.000140;TL;1350;1350
S.ACM.GNN.000181;TL;210;210
S.ACM.GNN.000166;TL;1670;1670
S.ACM.GNN.000178;TL;475;475
S.ACM.GNN.000089;TL;187.5;187.5
S.ACM.GNN.000141;TL;125;125
S.ACM.GNN.000114;TL;700;700
S.ACM.GNN.000106;TL;437.5;437.5
S.ACM.GNN.000106;TL;245;245
S.ACM.GNN.000117;TL;1042;1042
S.ACM.GNN.000117;TL;1042;1042
S.ACM.GNN.000117;TL;450;450
S.ACM.GNN.000149;TL;2075;2075
S.ACM.GNN.000149;TL;1475;1475
S.ACM.GNN.000150;TL;1500;1500
S.ACM.GKÇ.000074;TL;12500.01;12500.01
S.ACM.GKÇ.000086;TL;1083.3334;1083.3334
000000000000465;TL;2000;2000
000000000000465;TL;120;120
000000000000465;TL;1500;1500
000000000000465;TL;1400;1400
000000000000465;TL;833.33;833.33
000000000000465;TL;1050;1050
S.ACM.GKÇ.000057;TL;833.33;833.33
S.ACM.GKÇ.000057;TL;833.33;833.33
S.ACM.GKÇ.000057;TL;416.67;416.67
S.ACM.GKÇ.000057;TL;333.34;333.34
S.ACM.GKÇ.000084;TL;666.67;666.67
S.ACM.GKÇ.000084;TL;1166.66;1166.66
S.ACM.GKÇ.000085;TL;3040;3040
S.ACM.GKÇ.000085;TL;3333.33;3333.33
S.ACM.GKÇ.000085;TL;166.67;166.67
S.ACM.GKÇ.000085;TL;1625;1625
000000000000465;TL;600;600
S.ACM.GAN.000060;TL;524970;524970
S.ACM.GNN.000168;TL;2500;2500
S.ACM.GNN.000177;TL;1866.5;1866.5
S.ACM.GNN.000177;TL;1546;1546
S.ACM.GNN.000165;TL;3125;3125
S.ACM.GNN.000165;TL;666.5;666.5
S.ACM.GNN.000165;TL;1833;1833
S.ACM.GNN.000165;TL;417;417
S.ACM.GAN.000055;EUR;1164.22;60532.41823948422
S.ACM.GAN.000018;TL;740;740
S.ACM.GKÇ.000072;TL;14200;14200
S.ACM.GKÇ.000072;TL;22500;22500
S.ACM.GNN.000160;TL;117000;117000
S.ACM.GNN.000160;TL;106000;106000
S.ACM.GKÇ.000067;TL;500;500
S1260112850;TL;50801.9;50801.9
S.ACM.GKÇ.000064;EUR;37189.14;1933610.9811261892
S.ACM.GKÇ.000067;TL;6500;6500
S.ACM.GKÇ.000064;EUR;2010.22;104519.31575937191
